Run,Host,geo_loc_name_country
SRR18391768,Cattle,Spain
SRR18391769,Cattle,Spain
SRR18391770,Cattle,Spain
SRR18391771,Cervid,Spain
SRR18391772,Cattle,Spain
SRR18391773,Cattle,Spain
SRR3085259,Human,Tunisia
SRR3091232,Cervid,USA
SRR3091233,Cervid,USA
SRR3091234,Cattle,USA
SRR3091235,Cattle,USA
SRR3091236,Cattle,USA
SRR3091237,Cattle,USA
SRR3091238,Cattle,USA
SRR3091239,Cattle,USA
SRR3091240,Cattle,USA
SRR3091241,Cattle,USA
SRR3091242,Cattle,USA
SRR3091243,Cattle,USA
SRR3091244,Cattle,USA
SRR3091245,Cattle,USA
SRR3091246,Cattle,USA
SRR3091247,Cattle,USA
SRR3091248,Cattle,USA
SRR3091249,Cattle,USA
SRR3091250,Cattle,USA
SRR3091251,Cattle,USA
SRR3091252,Cattle,USA
SRR3091253,Cattle,USA
SRR3091254,Cattle,USA
SRR3091255,Cervid,USA
SRR3091258,Cervid,USA
SRR17077290,Human,USA
SRR17077291,Human,USA
SRR17077292,Cattle,Mexico
SRR17077293,Cattle,Mexico
SRR17077294,Cattle,Mexico
SRR17077296,Cattle,Mexico
SRR17077297,Cattle,Mexico
SRR17077298,Human,USA
SRR17077299,Cattle,Mexico
SRR17077300,Cattle,Mexico
SRR14296086,Cattle,Mexico
SRR14296087,Cattle,Mexico
SRR14296088,Cattle,Mexico
SRR14296089,Cattle,Mexico
SRR14296090,Cattle,Mexico
SRR14296091,Cattle,Mexico
SRR14296092,Cattle,Mexico
SRR14296093,Cattle,Mexico
SRR14296094,Cattle,Mexico
SRR14296095,Cattle,Mexico
SRR14296096,Cattle,Mexico
SRR14296097,Cattle,Mexico
SRR14296098,Cattle,Mexico
SRR14296099,Cattle,Mexico
SRR14296100,Cattle,Mexico
SRR14296101,Cattle,Mexico
SRR14296102,Cattle,Mexico
SRR14296103,Cattle,Mexico
SRR14296104,Cattle,Mexico
SRR14296105,Cattle,Mexico
SRR14296106,Cattle,Mexico
SRR14296107,Cattle,Mexico
SRR14296108,Cattle,Mexico
SRR14296109,Cattle,Mexico
SRR14296110,Cattle,Mexico
SRR14296111,Cattle,Mexico
SRR14296112,Cattle,Mexico
SRR14296113,Cattle,Mexico
SRR14296114,Cattle,Mexico
SRR14296115,Cattle,Mexico
SRR14296116,Cattle,Mexico
SRR14296117,Cattle,Mexico
SRR14296118,Cattle,Mexico
SRR14296119,Cattle,Mexico
SRR14296120,Cattle,Mexico
SRR14296121,Cattle,Mexico
SRR14296122,Cattle,Mexico
SRR14296123,Cattle,Mexico
SRR14296124,Cattle,Mexico
SRR14296125,Cattle,Mexico
SRR14296126,Cattle,Mexico
SRR14296127,Cattle,Mexico
SRR14296128,Cattle,Mexico
SRR14296129,Cattle,Mexico
SRR14296130,Cattle,Mexico
SRR14296131,Cattle,Mexico
SRR14296132,Cattle,Mexico
SRR14296133,Cattle,Mexico
SRR14296134,Cattle,Mexico
SRR14296135,Cattle,Mexico
SRR14296136,Cattle,Mexico
SRR14296137,Cattle,Mexico
SRR14296138,Cattle,Mexico
SRR14296139,Cattle,Mexico
SRR14296140,Cattle,Mexico
SRR14296141,Cattle,Mexico
SRR14296142,Cattle,Mexico
SRR14296143,Cattle,Mexico
SRR14296144,Cattle,Mexico
SRR14296145,Cattle,Mexico
SRR14296146,Cattle,Mexico
SRR14296147,Cattle,Mexico
SRR14296148,Cattle,Mexico
SRR14296149,Cattle,Mexico
SRR14296150,Cattle,Mexico
SRR14296151,Cattle,Mexico
SRR14296152,Cattle,Mexico
SRR14296153,Cattle,Mexico
SRR14296154,Cattle,Mexico
SRR14296155,Cattle,Mexico
SRR14296156,Cattle,Mexico
SRR14296157,Cattle,Mexico
SRR14296158,Cattle,Mexico
SRR14296159,Cattle,Mexico
SRR14296160,Cattle,Mexico
SRR14296161,Cattle,Mexico
SRR14296162,Cattle,Mexico
SRR14296163,Cattle,Mexico
SRR14296164,Cattle,Mexico
SRR14296165,Cattle,Mexico
SRR14296166,Cattle,Mexico
SRR14296167,Cattle,Mexico
SRR14296168,Cattle,Mexico
SRR14296169,Cattle,Mexico
SRR14296170,Cattle,Mexico
SRR14296171,Cattle,Mexico
SRR14296172,Cattle,Mexico
SRR14296173,Cattle,Mexico
SRR14296174,Cattle,Mexico
SRR14296175,Cattle,Mexico
SRR14296176,Cattle,Mexico
SRR14296177,Cattle,Mexico
SRR14296178,Cattle,Mexico
SRR14296179,Cattle,Mexico
SRR14296180,Cattle,Mexico
SRR14296181,Cattle,Mexico
SRR14296182,Cattle,Mexico
SRR14296183,Cattle,Mexico
SRR14296184,Cattle,Mexico
